competition_id,participants_season,team_season,team_id,team_name,competition_label,current_label,current_matches,current_wins,current_draws,current_losses,current_points_per_game,current_goals_for_against,current_avg_attendance,overall_label,overall_matches,overall_wins,overall_draws,overall_losses,overall_points_per_game,overall_goals_for_against,overall_avg_attendance,canonical_team_name
EURO,2024,2024,3262,Germany,UEFA Euro,Matches,5,3,1,1,2.00,11:4,56.270,Matches,15,10,4,1,2.27,35:10,48.939,Germany
EURO,2024,2024,3299,England,UEFA Euro,Matches,7,4,2,1,2.00,13:9,51.049,Matches,17,10,3,4,1.94,34:16,60.344,England
EURO,2024,2024,3300,Portugal,UEFA Euro,Matches,5,3,-,2,1.80,11:8,48.690,Matches,16,10,2,4,2.00,37:21,43.392,Portugal
EURO,2024,2024,3375,Spain,UEFA Euro,Matches,7,7,-,-,3.00,15:4,55.548,Matches,17,14,2,1,2.59,41:13,40.768,Spain
EURO,2024,2024,3376,Italy,UEFA Euro,Matches,4,1,1,2,1.00,3:5,54.134,Matches,14,8,3,3,1.93,21:14,36.151,Italy
EURO,2024,2024,3377,France,UEFA Euro,Matches,6,3,2,1,1.83,9:6,50.221,Matches,16,9,4,3,1.94,27:16,42.374,France
EURO,2024,2024,3379,Netherlands,UEFA Euro,Matches,6,3,1,2,1.67,10:7,58.507,Matches,16,8,4,4,1.75,36:16,49.023,Netherlands
EURO,2024,2024,3380,Scotland,UEFA Euro,Matches,3,-,1,2,0.33,2:7,53.921,Matches,13,3,3,7,0.92,13:22,40.751,Scotland
EURO,2024,2024,3381,Turkiye,UEFA Euro,Matches,5,3,-,2,1.80,8:8,55.251,Matches,15,6,3,6,1.40,19:23,37.114,Turkey
EURO,2024,2024,3382,Belgium,UEFA Euro,Matches,4,1,1,2,1.00,2:2,47.132,Matches,14,4,4,6,1.14,15:13,38.089,Belgium
EURO,2024,2024,3383,Austria,UEFA Euro,Matches,4,2,-,2,1.50,7:6,55.637,Matches,14,8,3,3,1.93,32:14,32.337,Austria
EURO,2024,2024,3384,Switzerland,UEFA Euro,Matches,5,2,2,1,1.60,11:9,49.230,Matches,15,4,6,5,1.20,23:24,30.898,Switzerland
EURO,2024,2024,3436,Denmark,UEFA Euro,Matches,4,-,3,1,0.75,2:4,56.519,Matches,14,5,6,3,1.50,16:11,34.594,Denmark
EURO,2024,2024,3438,Serbia,UEFA Euro,Matches,3,-,2,1,0.67,1:2,58.756,Matches,13,3,5,5,1.08,9:14,27.521,Serbia
EURO,2024,2024,3442,Poland,UEFA Euro,Matches,3,-,1,2,0.33,3:6,59.100,Matches,13,5,2,6,1.31,27:29,48.718,Poland
EURO,2024,2024,3445,Czechia,UEFA Euro,Matches,3,-,1,2,0.33,3:5,44.209,Matches,13,7,3,3,1.85,25:17,20.414,Czech Republic
EURO,2024,2024,3447,Romania,UEFA Euro,Matches,4,1,1,2,1.00,4:6,53.543,Matches,14,7,4,3,1.79,25:13,33.141,Romania
EURO,2024,2024,3468,Hungary,UEFA Euro,Matches,3,1,-,2,1.00,2:5,49.892,Matches,13,5,3,5,1.38,13:18,44.476,Hungary
EURO,2024,2024,3503,Slovakia,UEFA Euro,Matches,4,1,1,2,1.00,4:5,45.342,Matches,14,7,3,4,1.71,23:13,20.366,Slovakia
EURO,2024,2024,3556,Croatia,UEFA Euro,Matches,3,-,2,1,0.67,3:6,51.317,Matches,13,6,4,3,1.69,25:21,39.248,Croatia
EURO,2024,2024,3561,Albania,UEFA Euro,Matches,3,-,1,2,0.33,3:5,51.294,Matches,13,4,2,7,1.08,13:16,21.933,Albania
EURO,2024,2024,3588,Slovenia,UEFA Euro,Matches,4,-,3,1,0.75,2:5,51.285,Matches,15,5,7,3,1.47,17:18,24.549,Slovenia
EURO,2024,2024,3669,Georgia,UEFA Euro,Matches,4,1,1,2,1.00,5:8,49.375,Matches,13,6,2,5,1.54,21:17,32.566,Georgia
EURO,2024,2024,3699,Ukraine,UEFA Euro,Matches,3,1,1,1,1.33,2:4,53.167,Matches,14,6,4,4,1.57,19:17,29.245,Ukraine
