competition_id,team_season,team_id,team_name,matchday,date,time,home_team_id,home_team_name,away_team_id,away_team_name,system_of_play,coach_name,coach_id,attendance,result,result_color,match_report_id,canonical_team_name,canonical_home_team_name,canonical_away_team_name
EURO,2024,3262,Germany,Group A,Fri 14/06/2024,9:00 PM,3262,Germany,3380,Scotland,4-2-3-1,Julian Nagelsmann,8402,65.052,5:1,green,4235807,Germany,Germany,Scotland
EURO,2024,3262,Germany,Group A,Wed 19/06/2024,6:00 PM,3262,Germany,3468,Hungary,4-2-3-1,Julian Nagelsmann,8402,54.000,2:0,green,4235819,Germany,Germany,Hungary
EURO,2024,3262,Germany,Round of 16,Sat 29/06/2024,9:00 PM,3262,Germany,3436,Denmark,4-2-3-1,Julian Nagelsmann,8402,61.612,2:0,green,4359329,Germany,Germany,Denmark
EURO,2024,3299,England,Group C,Tue 25/06/2024,9:00 PM,3299,England,3588,Slovenia,4-3-3 Attacking,Gareth Southgate,3358,41.536,0:0,,4235836,England,England,Slovenia
EURO,2024,3299,England,Round of 16,Sun 30/06/2024,6:00 PM,3299,England,3503,Slovakia,4-3-3 Attacking,Gareth Southgate,3358,47.244,2:1 AET,green,4359331,England,England,Slovakia
EURO,2024,3299,England,Quarter-Finals,Sat 06/07/2024,6:00 PM,3299,England,3384,Switzerland,3-4-2-1,Gareth Southgate,3358,46.907,6:4 on pens,green,4359338,England,England,Switzerland
EURO,2024,3300,Portugal,Group F,Tue 18/06/2024,9:00 PM,3300,Portugal,3445,Czechia,3-4-3,Roberto Martínez,4328,38.421,2:1,green,4235818,Portugal,Portugal,Czech Republic
EURO,2024,3300,Portugal,Round of 16,Mon 01/07/2024,9:00 PM,3300,Portugal,3588,Slovenia,4-2-3-1,Roberto Martínez,4328,46.576,3:0 on pens,green,4359332,Portugal,Portugal,Slovenia
EURO,2024,3300,Portugal,Quarter-Finals,Fri 05/07/2024,9:00 PM,3300,Portugal,3377,France,4-2-3-1,Roberto Martínez,4328,47.789,3:5 on pens,red,4359337,Portugal,Portugal,France
EURO,2024,3375,Spain,Group B,Sat 15/06/2024,6:00 PM,3375,Spain,3556,Croatia,4-3-3 Attacking,Luis de la Fuente,20031,68.844,3:0,green,4235809,Spain,Spain,Croatia
EURO,2024,3375,Spain,Group B,Thu 20/06/2024,9:00 PM,3375,Spain,3376,Italy,4-3-3 Attacking,Luis de la Fuente,20031,49.528,1:0,green,4235822,Spain,Spain,Italy
EURO,2024,3375,Spain,Round of 16,Sun 30/06/2024,9:00 PM,3375,Spain,3669,Georgia,4-3-3 Attacking,Luis de la Fuente,20031,42.233,4:1,green,4359330,Spain,Spain,Georgia
EURO,2024,3375,Spain,Quarter-Finals,Fri 05/07/2024,6:00 PM,3375,Spain,3262,Germany,4-3-3 Attacking,Luis de la Fuente,20031,54.000,2:1 AET,green,4359336,Spain,Spain,Germany
EURO,2024,3375,Spain,Semi-Finals,Tue 09/07/2024,9:00 PM,3375,Spain,3377,France,4-3-3 Attacking,Luis de la Fuente,20031,62.042,2:1,green,4359340,Spain,Spain,France
EURO,2024,3375,Spain,Final,Sun 14/07/2024,9:00 PM,3375,Spain,3299,England,4-3-3 Attacking,Luis de la Fuente,20031,65.600,2:1,green,4359342,Spain,Spain,England
EURO,2024,3376,Italy,Group B,Sat 15/06/2024,9:00 PM,3376,Italy,3561,Albania,4-2-3-1,Luciano Spalletti,517,60.512,2:1,green,4235810,Italy,Italy,Albania
EURO,2024,3377,France,Group D,Tue 25/06/2024,6:00 PM,3377,France,3442,Poland,4-3-3 Attacking,Didier Deschamps,1229,59.728,1:1,,4235838,France,France,Poland
EURO,2024,3377,France,Round of 16,Mon 01/07/2024,6:00 PM,3377,France,3382,Belgium,4-3-3 Attacking,Didier Deschamps,1229,46.810,1:0,green,4359333,France,France,Belgium
EURO,2024,3379,Netherlands,Group D,Fri 21/06/2024,9:00 PM,3379,Netherlands,3377,France,4-3-3 Defending,Ronald Koeman,439,38.531,0:0,,4235826,Netherlands,Netherlands,France
EURO,2024,3379,Netherlands,Group D,Tue 25/06/2024,6:00 PM,3379,Netherlands,3383,Austria,4-3-3 Defending,Ronald Koeman,439,68.363,2:3,red,4235837,Netherlands,Netherlands,Austria
EURO,2024,3379,Netherlands,Quarter-Finals,Sat 06/07/2024,9:00 PM,3379,Netherlands,3381,Turkiye,4-2-3-1,Ronald Koeman,439,70.091,2:1,green,4359339,Netherlands,Netherlands,Turkey
EURO,2024,3379,Netherlands,Semi-Finals,Wed 10/07/2024,9:00 PM,3379,Netherlands,3299,England,4-2-3-1,Ronald Koeman,439,60.926,1:2,red,4359341,Netherlands,Netherlands,England
