player,team,primary_role,minutes_played,passes_total,passes_analysed,coverage_pct,gravity_hull_pct,gravity_proximity_pct,gravity_composite_pct,gravity_n,gravity_directional_m,gravity_directional_n,passes_op,lb_geom,lb_epv,lb_quality,epv_added_sum,epv_added_mean,defenders_bypassed_mean,between_lines_n,hull_penetration_n,pressure_resistance_n,lb_geom_pct,lb_epv_pct,lb_quality_pct,between_lines_pct,hull_exit_n,hull_exit_pct,hull_penetration_pct,pressure_resistance_pct,epv_penetration_mean,epv_penetration_sum,penetration_n,epv_inside_circ_mean,epv_inside_circ_sum,inside_circ_n,lb_geom_per90,lb_epv_per90,lb_quality_per90,epv_added_per90,epv_penetration_per90,epv_inside_circ_per90,penetration_per90,inside_circ_per90,between_lines_per90,successful_hull_exits_per90,successful_hull_penetrations_per90,macro_role
Declan Rice,England,Left Defensive Midfield,691,536,481,89.73880597014924,2.904906271033941,10.182063682794151,6.543484976914047,474,1.4094117343290864,451,431.0,15.0,49.0,10.0,1.649359590166662,0.0038268203948182413,0.9327146171693735,96.0,335.0,11.0,3.480278422273782,11.36890951276102,2.320185614849188,22.2737819025522,96.0,61.458333333333336,13.134328358208954,81.81818181818183,0.008205025362318786,0.3774311666666641,46.0,0.021483597222222126,0.5156063333333311,24.0,1.9536903039073805,6.382054992764109,1.3024602026049203,0.21482252259768392,0.049158907380607485,0.06715567293777104,5.991316931982634,3.1259044862518093,12.503617945007237,7.68451519536903,5.7308248914616495,MID
John Stones,England,Right Center Back,686,558,498,89.24731182795699,2.529611107680637,-20.09106912399048,-8.780729008154921,470,-3.056196056780494,456,452.0,1.0,47.0,1.0,0.8085607549833249,0.0017888512278392144,0.5730088495575221,11.0,441.0,1.0,0.22123893805309736,10.398230088495575,0.22123893805309736,2.433628318584071,11.0,72.72727272727273,12.244897959183673,0.0,0.0026965818713449736,0.1537051666666635,57.0,-0.0002086666666666,-0.0002086666666666,1.0,0.13119533527696792,6.166180758017492,0.13119533527696792,0.10607939934183563,0.020165400874635152,-2.7376093294451896e-05,7.478134110787172,0.13119533527696792,1.4431486880466473,1.0495626822157433,7.084548104956268,CB
Kyle Walker,England,Right Back,690,562,443,78.82562277580071,0.0898582703892312,-20.23021843335154,-10.070180081481157,414,-1.4676489002265751,392,384.0,10.0,56.0,8.0,2.2857465829499937,0.005952465059765609,0.765625,8.0,376.0,4.0,2.604166666666667,14.583333333333334,2.083333333333333,2.083333333333333,8.0,50.0,12.76595744680851,50.0,0.01419035776836153,0.8372311083333303,59.0,0.00010924999999999997,0.00021849999999999994,2.0,1.3043478260869565,7.304347826086956,1.0434782608695652,0.2981408586456514,0.10920405760869525,2.849999999999999e-05,7.695652173913043,0.2608695652173913,1.0434782608695652,0.5217391304347826,6.260869565217392,FB
Toni Kroos,Germany,Left Defensive Midfield,485,545,475,87.1559633027523,-1.0077725502570325,-3.949846402348784,-2.478809476302908,447,-1.225728854462774,418,415.0,24.0,69.0,18.0,2.111645885866657,0.005088303339437728,1.127710843373494,75.0,340.0,3.0,5.783132530120482,16.626506024096386,4.337349397590361,18.072289156626507,75.0,68.0,30.294117647058822,66.66666666666666,0.00636304475308637,0.6872088333333279,108.0,0.006535499999999962,0.12417449999999929,19.0,4.453608247422681,12.804123711340205,3.3402061855670104,0.39185181387216317,0.12752328865979282,0.023042690721649352,20.04123711340206,3.5257731958762886,13.917525773195877,9.463917525773196,19.11340206185567,MID
Jude Bellingham,England,Center Attacking Midfield,668,374,331,88.50267379679144,-2.423348463895492,18.366469802308643,7.971560669206577,320,2.312960042690576,287,319.0,23.0,24.0,10.0,2.2548556362333336,0.007068512966248695,1.1724137931034482,123.0,196.0,26.0,7.210031347962382,7.523510971786834,3.1347962382445136,38.557993730407524,123.0,61.78861788617886,13.77551020408163,57.692307692307686,0.021929800925925867,0.7894728333333312,36.0,0.016547109649122795,0.6287901666666662,38.0,3.098802395209581,3.2335329341317363,1.347305389221557,0.30379791506137727,0.10636610029940091,0.08471723802395204,4.850299401197605,5.119760479041916,16.57185628742515,10.239520958083832,3.6377245508982035,CAM
Fabián Ruiz Peña,Spain,Left Defensive Midfield,559,436,389,89.22018348623854,2.8738665358684767,11.98912543106128,7.431495983464876,389,1.719515777026703,344,367.0,14.0,47.0,7.0,2.0714605727999977,0.005644306737874653,1.005449591280654,145.0,222.0,12.0,3.8147138964577656,12.806539509536785,1.9073569482288828,39.509536784741144,145.0,64.13793103448275,18.46846846846847,66.66666666666666,0.019864704402515695,1.0528293333333318,53.0,0.009531378787878748,0.4193806666666649,44.0,2.2540250447227193,7.567084078711986,1.1270125223613596,0.333508857874776,0.16950740608228956,0.06752103756708379,8.53309481216458,7.084078711985689,23.345259391771016,14.973166368515207,6.601073345259391,MID
Aymeric Laporte,Spain,Left Center Back,533,490,432,88.16326530612245,3.309828177471996,-26.74909193069523,-11.719631876611617,404,-4.191112007721314,390,382.0,9.0,95.0,7.0,1.6519705935166593,0.004324530349520051,0.6910994764397905,9.0,373.0,1.0,2.356020942408377,24.86910994764398,1.832460732984293,2.356020942408377,9.0,33.33333333333333,14.209115281501342,0.0,0.01453022043715842,0.8863434466666636,61.0,0.004401699999999941,0.022008499999999702,5.0,1.5196998123827392,16.04127579737336,1.1819887429643527,0.27894437789211884,0.1496639966228888,0.0037162570356472292,10.300187617260788,0.8442776735459663,1.5196998123827392,0.5065666041275797,8.949343339587243,CB
Rodrigo Hernández Cascante,Spain,Right Defensive Midfield,532,436,397,91.05504587155964,0.5885603409393334,17.394348783661336,8.991454562300333,394,1.9356225314489328,358,356.0,12.0,37.0,7.0,0.9576452175000009,0.0026900146558988787,1.0168539325842696,162.0,194.0,17.0,3.3707865168539324,10.393258426966293,1.9662921348314606,45.50561797752809,162.0,70.37037037037037,12.886597938144329,76.47058823529412,0.013424279999999985,0.3356069999999996,25.0,0.0028873863636363294,0.1270449999999985,44.0,2.0300751879699246,6.2593984962406015,1.1842105263157894,0.1620076495770678,0.05677562030075181,0.02149257518796967,4.2293233082706765,7.443609022556391,27.406015037593985,19.285714285714285,4.2293233082706765,MID
Marc Guehi,England,Left Center Back,579,453,395,87.19646799116998,2.113476492290771,-24.79274879905209,-11.33963615338066,379,-3.1957139274901194,354,343.0,5.0,30.0,5.0,0.5301693792666601,0.001545683321477143,0.4752186588921283,15.0,328.0,3.0,1.4577259475218658,8.746355685131196,1.4577259475218658,4.373177842565598,15.0,60.0,9.451219512195122,66.66666666666666,0.002787914141414087,0.09200116666666487,33.0,0.001085124999999975,0.0043404999999999,4.0,0.7772020725388601,4.66321243523316,0.7772020725388601,0.08240974807253783,0.014300699481865005,0.0006746891191709689,5.129533678756477,0.6217616580310881,2.33160621761658,1.3989637305699483,4.818652849740933,CB
Phil Foden,England,Left Wing,620,372,336,90.32258064516128,-1.8966795405230523,17.583288272783733,7.84330436613034,327,2.996698757600518,298,306.0,11.0,11.0,5.0,0.7682974557666695,0.002510775999237482,1.1699346405228759,117.0,189.0,10.0,3.594771241830065,3.594771241830065,1.6339869281045754,38.23529411764706,117.0,58.97435897435898,13.227513227513226,60.0,0.009211268817204256,0.28554933333333193,31.0,0.002225214912280702,0.08455816666666667,38.0,1.596774193548387,1.596774193548387,0.7258064516129032,0.11152705003064557,0.04145070967741915,0.012274572580645161,4.5,5.516129032258064,16.983870967741936,10.016129032258066,3.629032258064516,WIDE
